0.000     10.000          10.000
0.000     10.001           9.999
0.000     10.002           9.998
0.000     10.003           9.997
0.000     10.004           9.996
0.001     10.005           9.995
0.001     10.006           9.994
0.001     10.007           9.993
0.001     10.008           9.992
0.001     10.009           9.991
0.001     10.010           9.990
0.001     10.011           9.989
0.001     10.012           9.988
0.001     10.013           9.987
0.001     10.014           9.986
0.002     10.015           9.985
0.002     10.016           9.984
0.002     10.017           9.983
0.002     10.018           9.982
0.002     10.019           9.981
0.002     10.020           9.980
0.002     10.021           9.979
0.002     10.022           9.978
0.002     10.023           9.977
0.002     10.024           9.976
0.002     10.025           9.975
0.003     10.026           9.974
0.003     10.027           9.973
0.003     10.028           9.972
0.003     10.029           9.970
0.003     10.030           9.969
0.003     10.031           9.968
0.003     10.032           9.967
0.003     10.033           9.966
0.003     10.034           9.965
0.003     10.035           9.964
0.004     10.036           9.963
0.004     10.037           9.962
0.004     10.038           9.961
0.004     10.039           9.960
0.004     10.040           9.959
0.004     10.041           9.958
0.004     10.042           9.957
0.004     10.043           9.956
0.004     10.044           9.955
0.004     10.045           9.954
0.005     10.046           9.953
0.005     10.047           9.952
0.005     10.048           9.951
0.005     10.049           9.950
0.005     10.050           9.949
0.005     10.051           9.948
0.005     10.052           9.947
0.005     10.053           9.946
0.005     10.054           9.945
0.006     10.055           9.944
0.006     10.056           9.943
0.006     10.057           9.942
0.006     10.058           9.941
0.006     10.059           9.940
0.006     10.060           9.939
0.006     10.061           9.938
0.006     10.062           9.937
0.006     10.063           9.936
0.006     10.064           9.935
0.007     10.065           9.934
0.007     10.066           9.933
0.007     10.067           9.932
0.007     10.068           9.931
0.007     10.069           9.930
0.007     10.070           9.929
0.007     10.071           9.928
0.007     10.072           9.927
0.007     10.073           9.926
0.007     10.074           9.925
0.008     10.075           9.924
0.008     10.076           9.923
0.008     10.077           9.922
0.008     10.078           9.921
0.008     10.079           9.920
0.008     10.080           9.919
0.008     10.081           9.918
0.008     10.082           9.917
0.008     10.083           9.916
0.008     10.084           9.915
0.009     10.085           9.914
0.009     10.086           9.913
0.009     10.087           9.912
0.009     10.088           9.911
0.009     10.089           9.909
0.009     10.090           9.908
0.009     10.091           9.907
0.009     10.092           9.906
0.009     10.093           9.905
0.009     10.094           9.904
0.009     10.095           9.903
0.010     10.096           9.902
0.010     10.097           9.901
0.010     10.098           9.900
0.010     10.099           9.899
0.010     10.099           9.898
0.010     10.100           9.897
0.010     10.101           9.896
0.010     10.102           9.895
0.010     10.103           9.894
0.010     10.104           9.893
0.011     10.105           9.892
0.011     10.106           9.891
0.011     10.107           9.890
